trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,"00:10:00","00:10:00",a1,0
1,"00:20:00","00:20:00",b,1
1,"00:30:00","00:30:00",c,2
1,"00:40:00","00:40:00",d,3
1,"00:49:00","00:49:00",e,4
12,"01:10:00","01:10:00",a2,0
12,"01:20:00","01:20:00",b,1
12,"01:30:00","01:30:00",c,2
12,"01:40:00","01:40:00",d,3
12,"01:50:00","01:50:00",e,4
13,"02:10:00","02:10:00",a1,0
13,,,b,1
13,"02:30:00","02:30:00",c,2
13,"02:40:00","02:40:00",d,3
13,"02:50:00","02:50:00",e,4
14,"03:10:00","03:10:00",a1,0
14,"03:20:00","03:20:00",b,1
14,"03:30:00","03:30:00",c,2
14,"03:40:00","03:40:00",d,3
14,"03:50:00","03:50:00",e,4
15,"04:10:00","04:10:00",a2,0
15,"04:20:00","04:20:00",b,1
15,"04:30:00","04:30:00",c,2
15,"04:40:00","04:40:00",d,3
15,"04:50:00","04:50:00",e,4
2,"10:10:00","10:10:00",a2,0
2,"10:20:00","10:20:00",b,1
2,"10:30:00","10:30:00",c,2
2,"10:40:00","10:40:00",d,3
2,"10:50:00","10:50:00",e,4
22,"11:10:00","11:10:00",a2,0
22,"11:20:00","11:20:00",b,1
22,"11:30:00","11:30:00",c,2
22,"11:40:00","11:40:00",d,3
22,"11:50:00","11:50:00",e,4
23,"12:10:00","12:10:00",a2,0
23,"12:20:00","12:20:00",b,1
23,"12:30:00","12:30:00",c,2
23,"12:40:00","12:40:00",d,3
23,"12:50:00","12:50:00",e,4
24,"13:10:00","13:10:00",a1,0
24,"13:20:00","13:20:00",b,1
24,"13:30:00","13:30:00",c,2
24,"13:40:00","13:40:00",d,3
24,"13:50:00","13:50:00",e,4
25,"14:10:00","14:10:00",a1,0
25,"14:20:00","14:20:00",b,1
25,"14:30:00","14:30:00",c,2
25,"14:40:00","14:40:00",d,3
25,"14:50:00","14:50:00",e,4
3,"01:00:00","01:00:00",f,0
3,"01:40:00","01:40:00",c,1
3,"01:50:00","01:50:00",g,2
31,"05:00:00","05:00:00",f,0
31,"05:40:00","05:40:00",c,1
31,"05:50:00","05:50:00",g,2
32,"12:00:00","12:00:00",f,0
32,"12:40:00","12:40:00",c,1
32,"12:50:00","12:50:00",g,2
33,"16:00:00","16:00:00",f,0
33,"16:40:00","16:40:00",c,1
33,"16:50:00","16:50:00",g,2
34,"20:00:00","20:00:00",f,0
34,"20:40:00","20:40:00",c,1
34,"20:50:00","20:50:00",g,2
4,"01:00:50","01:00:50",h,0
4,"01:40:50","01:40:50",i,1
4,"01:50:50","01:50:50",j,2
41,"05:00:50","05:00:50",h,0
41,"05:40:50","05:40:50",i,1
41,"05:50:50","05:50:50",j,2
42,"12:00:50","12:00:50",h,0
42,"12:40:50","12:40:50",i,1
42,"12:50:50","12:50:50",j,2
43,"16:00:50","16:00:50",h,0
43,"16:40:50","16:40:50",i,1
43,"16:50:50","16:50:50",j,2
44,"20:00:50","20:00:50",h,0
44,"20:40:50","20:40:50",i,1
44,"20:50:50","20:45:50",j,2
