stop_id,stop_name,stop_desc,stop_lat,stop_lon,parent_station
a1,Stop A Platform 1,First stop on Line A-E,0.0051,0.005,
a2,Stop A Platform 2,First stop on Line A-E,0.0049,0.005,a1
b,Stop B,Second stop on Line A-E,0.005,0.0152,
c,Stop C,Third stop on Line A-E,0.005,0.0253,
d,Stop D,Fourth stop on Line A-E,0.005,0.0354,
e,Stop E,Fifth stop on Line A-E,0.005,0.0455,
f,Stop F,First stop on Line FCG,-0.104,0.0253,
g,Stop G,Third stop on Line FCG,0.206,0.0253,
h,Stop H,First stop on Line HIJ,0.206,0.0554,
i,Stop I,Second stop on Line HIJ,0.206,0.0555,
j,Stop J,Third stop on Line HIJ,0.206,0.0556,
