route_id,service_id,trip_id,trip_headsign,shape_id
abcde,weekdays,1,"ABCDE",0
abcde,weekdays,12,"ABCDE",0
abcde,weekdays,13,"ABCDE",0
abcde,weekdays,14,"ABCDE",0
abcde,weekdays,15,"ABCDE".,0
abcde,weekends,2,"ABCDE",0
abcde,weekends,22,"ABCDE",0
abcde,weekends,23,"ABCDE",0
abcde,weekends,24,"ABCDE",0
abcde,weekends,25,"ABCDE",0
fcg,allweek,3,"CGE",
fcg,allweek,31,"CGE",
fcg,allweek,32,"CGE",
fcg,allweek,33,"CGE",
fcg,allweek,34,"CGE",
hij,allweek,4,"HIJ",
hij,allweek,41,"HIJ",
hij,allweek,42,"HIJ",
hij,allweek,43,"HIJ",
hij,allweek,44,"HIJ",
hij,weekend,45,"HIJ",
